UZZAGE FINANCIAL MODEL,,,,,,,
Last Updated: 2025-12-27,,,,,,,
,,,,,,,
=== INPUTS (Edit Yellow Cells) ===,,,,,,,
,,,,,,,
HARDWARE COSTS,Value,Unit,Notes,,,,
Jetson Orin Nano Super,249,$,Edge compute,,,,
Ubiquiti AI 360 Camera,419,$,Per camera,,,,
8-port PoE Switch,75,$,,,,,
16-port PoE Switch,150,$,,,,,
24-port PoE Switch,250,$,,,,,
Cabling (per camera),37.5,$,Approx,,,,
Contingency %,10,%,Buffer,,,,
Hardware Markup,20,%,Margin on HW,,,,
,,,,,,,
MONTHLY COSTS (COGS),Value,Unit,Notes,,,,
Cloud (Supabase + Vercel),26,$/gym,,,,,
Support Allocation,40,$/gym,~1 hr/gym/mo,,,,
Software Maintenance,20,$/gym,Updates,,,,
TOTAL MONTHLY COGS,86,$/gym,=SUM above,,,,
,,,,,,,
PRICING PARAMETERS,Value,Unit,Notes,,,,
Target Gross Margin,65,%,,,,,
Base Fee,246,$,,,,,
Per Sqft Rate,0.0123,$,,,,,
,,,,,,,
ASSUMPTIONS,Value,Unit,Notes,,,,
Annual Churn Rate,12,%,,,,,
Avg Customer Lifetime,100,months,=12/Churn,,,,
Contract Term,12,months,Annual,,,,
Blended CAC,1500,$,,,,,
,,,,,,,
SEGMENT DEFINITIONS,Sqft,Cameras (Full),Cameras (Hybrid),Existing Cameras,,,
Small Boutique,5500,9,4,5,,,
Mid Independent,11500,19,5,10,,,
Large Facility,22500,38,7,14,,,
Enterprise,45000,75,10,20,,,
,,,,,,,
=== SOFTWARE PRICING ===,,,,,,,
,,,,,,,
Segment,Sqft,Monthly Price,Monthly COGS,Gross Profit,Gross Margin,,
Small Boutique,5500,314,86,228,73%,,
Mid Independent,11500,388,86,302,78%,,
Large Facility,22500,523,86,437,84%,,
Enterprise,45000,799,86,713,89%,,
Weighted Average,,476,86,390,82%,,
,,,,,,,
Formula: Monthly Price = Base Fee + (Sqft × Per Sqft Rate),,,,,,,
Example: $246 + (5500 × $0.0123) = $314,,,,,,,
,,,,,,,
=== HARDWARE PRICING - BYOC (Connect) ===,,,,,,,
,,,,,,,
Segment,Compute,Switch,Cabling,Contingency,Total Cost,Customer Price,
Small Boutique,249,0,0,50,299,359,
Mid Independent,249,0,0,50,299,359,
Large Facility,249,0,50,50,349,419,
Enterprise,498,0,50,50,598,718,
,,,,,,,
=== HARDWARE PRICING - Hybrid (Enhance) ===,,,,,,,
,,,,,,,
Segment,Cameras Needed,Compute,Cameras Cost,Switch,Cabling,Contingency,Total Cost,Customer Price
Small Boutique,4,249,1676,75,150,215,2365,2838
Mid Independent,5,249,2095,75,200,262,2881,3457
Large Facility,7,249,2933,150,300,363,3995,4794
Enterprise,10,249,4190,150,400,499,5488,6586
,,,,,,,
=== HARDWARE PRICING - Full Install (Complete) ===,,,,,,,
,,,,,,,
Segment,Cameras Needed,Compute,Cameras Cost,Switch,Cabling,Contingency,Total Cost,Customer Price
Small Boutique,9,249,3771,150,300,447,4917,5900
Mid Independent,19,249,7961,250,500,896,9856,11827
Large Facility,38,249,15922,500,900,1757,19328,23194
Enterprise,75,498,31425,1000,1800,3472,38195,45834
,,,,,,,
=== UNIT ECONOMICS - BYOC (Best Margins) ===,,,,,,,
,,,,,,,
Segment,HW Revenue,Y1 SW Revenue,Y1 Total Revenue,Y1 Cost,Y1 Profit,Y1 Margin,
Small Boutique,359,3768,4127,1331,2796,68%,
Mid Independent,359,4656,5015,1331,3684,73%,
Large Facility,419,6276,6695,1381,5314,79%,
Enterprise,718,9588,10306,1630,8676,84%,
,,,,,,,
=== UNIT ECONOMICS - Hybrid ===,,,,,,,
,,,,,,,
Segment,HW Revenue,Y1 SW Revenue,Y1 Total Revenue,Y1 Cost,Y1 Profit,Y1 Margin,
Small Boutique,2838,3768,6606,3397,3209,49%,
Mid Independent,3457,4656,8113,3913,4200,52%,
Large Facility,4794,6276,11070,5027,6043,55%,
Enterprise,6586,9588,16174,6520,9654,60%,
,,,,,,,
=== UNIT ECONOMICS - Full Install ===,,,,,,,
,,,,,,,
Segment,HW Revenue,Y1 SW Revenue,Y1 Total Revenue,Y1 Cost,Y1 Profit,Y1 Margin,
Small Boutique,5900,3768,9668,5949,3719,38%,
Mid Independent,11827,4656,16483,10888,5595,34%,
Large Facility,23194,6276,29470,20360,9110,31%,
Enterprise,45834,9588,55422,39227,16195,29%,
,,,,,,,
=== LIFETIME VALUE ===,,,,,,,
,,,,,,,
Metric,15% Churn,12% Churn,8% Churn,,,,
Avg Lifetime (months),80,100,150,,,,
Lifetime Revenue,38080,47600,71400,,,,
Lifetime COGS,6880,8600,12900,,,,
Hardware Profit,473,473,473,,,,
LTV,31673,39473,58973,,,,
,,,,,,,
=== CUSTOMER ACQUISITION ===,,,,,,,
,,,,,,,
Channel,CAC,LTV:CAC,Payback (months),,,,
Founder-led,1000,39:1,2.6,,,,
Partner referral,2000,20:1,5.1,,,,
Inbound marketing,3000,13:1,7.7,,,,
Blended Target,1500,26:1,3.8,,,,
,,,,,,,
=== PATH TO $1M ARR ===,,,,,,,
,,,,,,,
Milestone,Total Gyms,BYOC (30%),Hybrid (50%),Full (20%),MRR,ARR,Valuation (Mid)
Pilot,10,3,5,2,4760,57120,228000
Traction,25,8,12,5,11900,142800,857000
Growth,50,15,25,10,23800,285600,2142000
Scale,100,30,50,20,47600,571200,5712000
$1M ARR,175,53,87,35,83300,1000000,12500000
,,,,,,,
Valuation Multiples:,,,,,,,
Pilot: 3-5x ARR (pre-PMF),,,,,,,
Traction: 5-7x ARR (early PMF),,,,,,,
Growth: 7-10x ARR (clear PMF),,,,,,,
Scale: 8-12x ARR (efficient growth),,,,,,,
$1M ARR: 10-15x ARR (proven model),,,,,,,
,,,,,,,
=== CUMULATIVE HARDWARE REVENUE ===,,,,,,,
,,,,,,,
Milestone,Connect,Enhance,Complete,Total HW Revenue,,,
Pilot,1077,14190,11800,27067,,,
Traction,2872,41484,59135,103491,,,
Growth,5385,86625,118270,210280,,,
Scale,10770,189000,236540,436310,,,
$1M ARR,19027,330606,525000,874633,,,
,,,,,,,
=== OPERATING EXPENSES ===,,,,,,,
,,,,,,,
Item,Pre-Revenue,Growth (10-25),Scale (50+),,,,
Founder Salary,0,0,10000,,,,
Employee Salaries,0,0,13000,,,,
Cloud/Infrastructure,100,300,1000,,,,
Tools/Subscriptions,50,150,500,,,,
Marketing/Sales,50,500,2000,,,,
Contractors,0,1000,0,,,,
Legal/Accounting,0,200,500,,,,
TOTAL MONTHLY OPEX,200,2150,27500,,,,
,,,,,,,
=== BREAK-EVEN ANALYSIS ===,,,,,,,
,,,,,,,
Phase,Monthly OpEx,GP per Gym,Gyms to Break-Even,,,,
Pre-Revenue,200,390,1,,,,
Growth,2150,390,6,,,,
Scale,27500,390,71,,,,
,,,,,,,
=== PROFITABILITY AT $1M ARR ===,,,,,,,
,,,,,,,
Line Item,Monthly,Annual,,,,,
Software MRR,83300,1000000,,,,,
COGS (175 × $86),-15050,-180600,,,,,
Gross Profit,68250,819400,,,,,
Gross Margin,82%,,,,,,
Operating Expenses,-27500,-330000,,,,,
Net Profit,40750,489400,,,,,
Net Margin,49%,,,,,,
,,,,,,,
=== 3-YEAR PROJECTIONS ===,,,,,,,
,,,,,,,
Year 1: Pilot Phase,,,,,,,
Quarter,Gyms,MRR,HW Revenue,COGS,OpEx,Net,
Q1,2,952,4618,172,200,580,
Q2,4,1904,4618,344,2150,-590,
Q3,7,3332,6927,602,2150,580,
Q4,10,4760,6927,860,2150,1750,
Year 1 Total,,,$55934,,,,$28722,
,,,,,,,
Year 2: Expansion Phase,,,,,,,
Quarter,Gyms,MRR,HW Revenue,COGS,OpEx,Net,
Q1,15,7140,11545,1290,2150,3700,
Q2,22,10472,16163,1892,2150,6430,
Q3,28,13328,13854,2408,3650,7270,
Q4,35,16660,16163,3010,3650,9900,
Year 2 Total,,,$200525,,,,$130725,
,,,,,,,
Year 3: Scale Phase,,,,,,,
Quarter,Gyms,MRR,HW Revenue,COGS,OpEx,Net,
Q1,50,23800,34635,4300,7150,12350,
Q2,65,30940,34635,5590,7150,18200,
Q3,80,38080,34635,6880,15000,16200,
Q4,100,47600,46180,8600,20000,19000,
Year 3 Total,,,$571345,,,,$321965,
,,,,,,,
3-YEAR SUMMARY,Year 1,Year 2,Year 3,Total,,,
Ending Gyms,10,35,100,,,,
Revenue,55934,200525,571345,827804,,,
Net Profit,28722,130725,321965,481412,,,
,,,,,,,
=== KEY METRICS SUMMARY ===,,,,,,,
,,,,,,,
Metric,Value,Notes,,,,,
Weighted Avg Monthly Price,476,$,,,,,
Monthly COGS per Gym,86,$,,,,,
Gross Profit per Gym,390,$,,,,,
Gross Margin,82,%,,,,,
LTV (12% churn),39473,$,,,,,
LTV:CAC Ratio,26,:1,,,,,
Payback Period,3.8,months,,,,,
Break-even (Growth Phase),6,gyms,,,,,
Gyms to $1M ARR,175,,,,,,
Net Margin at Scale,49,%,,,,,
